"Energy, MeV","Sigma(E), MeV",dE/E,Sigma(dE/E)
874.7352934056175,9.358567686635297,0.2551066486864419,0.005557249557267427
1370.4530235319312,11.365417671636123,0.1984884251795904,0.004013280144893627
1957.6927416660344,13.656766473412517,0.16801721467395972,0.0033089184982060932
2925.84426050274,16.04856507784916,0.14345833556564141,0.002747684403060621
3535.5877965544464,18.388378482181906,0.12656311572546652,0.0024101833951643992
4073.640192837071,19.781438859089576,0.1236850554760622,0.0023598414365840503
4982.27462707999,22.141775102522388,0.10925850727132803,0.002058217711888633
6372.487619769001,26.517381087362992,0.09874072758336172,0.0018496095513267372
7106.145417093653,27.069396559066718,0.0934535098919026,0.0017584746571133434
7998.50522628687,28.1290987462462,0.08657238971620536,0.0016144028105853183
9739.029158325471,31.007211931406346,0.08160409717357403,0.001516794577192136
