"Energy, MeV","Sigma(E), MeV","E_gap, MeV","Sigma(E_gap), MeV"
500.0,0.0,11.335604597809688,0.13541524592691268
1000.0,0.0,24.35844800000183,0.19919200254568814
2000.0,0.0,51.331111606385036,0.2958579301977551
3000.0,0.0,77.36084403568292,0.3573528960787087
4000.0,0.0,105.19269789474805,0.3986803473183187
5000.0,0.0,131.5227680851722,0.44857564849944254
6000.0,0.0,157.3937624035861,0.4932613569435773
7000.0,0.0,185.21520202828563,0.5223668248745099
8000.0,0.0,211.81802395207947,0.5827086608664018
9000.0,0.0,237.39310356691473,0.6122144014540254
10000.0,0.0,263.4366766668095,0.6546972284378967
