"Energy, MeV","Sigma(E), MeV","E_gap, MeV","Sigma(E_gap), MeV"
500.0,0.0,34.02153362523138,0.3002538720807344
1000.0,0.0,71.53880961217601,0.42458375997436804
2000.0,0.0,145.08229579920226,0.5854996860051216
3000.0,0.0,218.90817269971586,0.7504298277285102
4000.0,0.0,291.3367086884183,0.8467082475756911
5000.0,0.0,365.75212556938965,0.9381206891801241
6000.0,0.0,438.4304579630117,1.035601784281198
7000.0,0.0,512.5368708451581,1.0592327210898418
8000.0,0.0,585.123603959968,1.2096351806784469
9000.0,0.0,656.988437786775,1.2374007852894238
10000.0,0.0,732.6006847150791,1.3117378987545862
