"Energy, MeV","Sigma(E), MeV",dE/E,Sigma(dE/E)
885.2229822217123,6.829758989879224,0.18920004734166676,0.003765631395997249
1359.4545431611687,8.314588912724275,0.15185284207429758,0.002935761525971528
1935.876239304705,10.417432584085873,0.1345797455059966,0.00258290318818156
2951.7022710754977,12.776763442200263,0.10562755132514202,0.0019861356478792095
3560.52744606712,13.987920636644958,0.09723377598859491,0.0018170738066866608
4135.366043476732,15.206364218141971,0.09060061454424506,0.0016880173122953254
5032.059274225117,14.609839696370727,0.08097016134872535,0.0014969827341712735
6297.593795886816,18.278977315166685,0.0746288014468727,0.0013798615766345724
7179.215920975554,19.16704138490286,0.06892963002086477,0.0012719759726261353
7992.515357812843,20.723332666304486,0.06553046866907987,0.0012089524190670208
9747.672577784273,23.948947100093392,0.06233771041335289,0.0011483774954684294
