"Energy, MeV","Sigma(E), MeV",dE/E,Sigma(dE/E)
850.264875092452,8.283376050022753,0.2393342321053577,0.005090723199069671
1370.6628475340378,11.236446406602568,0.19617313940834563,0.003971747524565966
1966.6794138195762,12.834410127569868,0.16294541729906598,0.0031707388860186965
2952.1045366422536,15.166458585160854,0.13379061769644673,0.0025413227876132714
3564.531998050262,18.452527546067813,0.1252952322661327,0.0023811397722439008
4151.585085433208,18.78118298655363,0.11647559879303197,0.002195488164045168
5029.105429048241,21.464139459444596,0.10285888301795036,0.0019326158962567387
6342.302567016102,23.331274466158902,0.0924868120571753,0.001722646976428703
7154.2351779234305,25.881971672978125,0.08734924122306874,0.0016290370326881114
7993.125130406886,27.755890851818094,0.08472649407745687,0.0015779708116906812
9782.648514189023,25.421910344060052,0.07851068186665287,0.0014478350283848348
