"Energy, MeV","Sigma(E), MeV",dE/E,Sigma(dE/E)
874.9474078084826,9.098937273522552,0.23790393227380383,0.005098231171979508
1353.9837295548932,10.799190255375947,0.19452423514818312,0.003938273153535368
1936.5464516108295,13.461322264424098,0.1669049222842928,0.0032970054397889925
2935.06303039345,16.349398986767255,0.13235611233579128,0.0025375247999389816
3537.7479705504506,17.95932140001719,0.12656740630802266,0.002402717061765145
4175.168515876741,18.205810978625323,0.10900581775051849,0.0020487769029961123
5048.091837736492,21.249470031074452,0.10577096807913686,0.001982567196805851
6340.631143292876,23.585601080441847,0.09248827574221913,0.001725218826937704
7163.921727847414,23.394977758247478,0.08943667928561995,0.001658815657474175
8024.458385426674,28.067182194248744,0.08475385045221792,0.001577750628571386
9707.895779572596,29.949823079648922,0.07612327872340842,0.0014192534721993023
