"Energy, MeV","Sigma(E), MeV","E_gap, MeV","Sigma(E_gap), MeV"
500.0,0.0,10.295306511059053,0.11312113387672085
1000.0,0.0,21.92199200047675,0.1701909146048095
2000.0,0.0,44.959380200295556,0.24041340518879295
3000.0,0.0,68.23646495252373,0.287832209992267
4000.0,0.0,90.92447229197558,0.35776175170038726
5000.0,0.0,114.25872965364327,0.3792366171534667
6000.0,0.0,137.24834861343152,0.42344953770334826
7000.0,0.0,160.11969418419136,0.4502360846230147
8000.0,0.0,182.4243427081335,0.48386253494469145
9000.0,0.0,205.69273846461937,0.5317901008609454
10000.0,0.0,229.01228473162848,0.5346071204476175
