"Energy, MeV","Sigma(E), MeV","E_gap, MeV","Sigma(E_gap), MeV"
500.0,0.0,5.995401311002869,0.06621045281594728
1000.0,0.0,12.987868402033605,0.10617236921400508
2000.0,0.0,27.141259280613657,0.14569598191452293
3000.0,0.0,41.652395681577765,0.17594807693038206
4000.0,0.0,55.46779550493429,0.22375540551985296
5000.0,0.0,69.74378620151823,0.23034274897103302
6000.0,0.0,83.60970044851798,0.27137214761366124
7000.0,0.0,98.00611044185536,0.2899048981008647
8000.0,0.0,111.92558597040531,0.30355649826431375
9000.0,0.0,126.03594922033601,0.32127817622989596
10000.0,0.0,140.272645063921,0.3590921591457459
