"Energy, MeV","Sigma(E), MeV",dE/E,Sigma(dE/E)
880.3632615100373,8.843675653645619,0.24361790452426105,0.005201224051115132
1364.8025856259237,10.946679635190776,0.20139838133310498,0.004070930398553607
1907.8555843304084,12.693644767652017,0.1686734963367713,0.0033483466619553905
2939.0563981911937,16.67422852618597,0.1394391389022535,0.00269057828741651
3530.487326217282,17.178294567580906,0.12517640425344237,0.002387975858213273
4119.333748085351,20.44255933242266,0.11973128473762719,0.002295801596736095
5037.890911946623,21.81313513939358,0.10812285775243163,0.0020379133464821634
6328.209210806894,25.53759777555115,0.09783512003371823,0.0018344610954154187
7157.454914611513,25.08750752301239,0.09415030150618635,0.0017558272424050495
7996.038750950236,26.844191651186065,0.08451515330211937,0.0015787080911982775
9787.325569899342,31.04846848311081,0.07912671890935377,0.0014668388603181761
