"Energy, MeV","Sigma(E), MeV",dE/E,Sigma(dE/E)
876.8355787621754,7.673504929156991,0.21109061614299837,0.004333781468816657
1364.3960565554673,9.333487171672573,0.1701097985402994,0.0033438491637494353
1936.86687663301,11.183780667730048,0.1446846298864925,0.0027939232564918154
2951.5938842529968,14.187125378641667,0.11729659486204512,0.0022165893308650907
3527.0063814746195,15.261808528596248,0.10853743796243773,0.002042178586900902
4128.002793514445,16.430535859528845,0.09959099339750054,0.0018631924110866665
4984.083078713043,19.235845514472203,0.09273097171312959,0.001732241983601646
6283.988927620603,21.275507131743325,0.0849924296683354,0.0015792730075119001
7166.38213731094,23.120719152949732,0.07866064139323208,0.0014583936177819253
8087.594286067415,22.006163675641346,0.0751356241520202,0.0013897810773627964
9738.87724830306,24.73980821713394,0.0679462716778283,0.0012524686633228962
