"Energy, MeV","Sigma(E), MeV","E_gap, MeV","Sigma(E_gap), MeV"
500.0,0.0,21.913295458416435,0.21500142310260273
1000.0,0.0,46.811522828473116,0.3095794347361718
2000.0,0.0,95.82179753516382,0.417519762436541
3000.0,0.0,144.99001779906638,0.534318696992429
4000.0,0.0,193.4749074157028,0.6648272863378679
5000.0,0.0,242.15075422589572,0.7170674313419454
6000.0,0.0,290.41279632827593,0.777218861455907
7000.0,0.0,337.61173905528676,0.8489896127310033
8000.0,0.0,387.08537826535235,0.8808301377004
9000.0,0.0,439.3420798958173,0.8162483304744228
10000.0,0.0,482.7161557458396,0.9358747761025086
