"Energy, MeV","Sigma(E), MeV",dE/E,Sigma(dE/E)
882.8418194672163,7.595959391977715,0.21322788177589685,0.004349808250431209
1367.0251619694177,9.549724244885624,0.17113674141782292,0.0033698854627915347
1956.1194154065029,10.646983453911275,0.14696197008423534,0.0028020566195084114
2927.1614110840146,13.624799508384513,0.11438420580450828,0.0021602190144653817
3535.835321151596,15.29562930636257,0.10844390650388143,0.0020376457546753585
4101.108025943941,17.046064624415067,0.10157266486020324,0.001908279442594727
4951.119875943039,17.956038652151165,0.09201187014457639,0.0017213165268895882
6312.988982297457,20.870973013902585,0.08161368281468317,0.0015143256329228463
7163.252822789096,21.490750204486176,0.07824989439891794,0.0014478042842053153
8033.741433149132,22.58088340450513,0.07561444915557064,0.001397075632292556
9745.897335821124,27.718683013567897,0.07026648166664734,0.0013393355211746218
