"Energy, MeV","Sigma(E), MeV","E_gap, MeV","Sigma(E_gap), MeV"
500.0,0.0,22.83772395159101,0.22084956990521754
1000.0,0.0,48.53419467471778,0.3245039487460346
2000.0,0.0,98.57571318074912,0.4542521157579529
3000.0,0.0,149.48578278524647,0.5469028297289498
4000.0,0.0,199.72936530167252,0.6316879470303576
5000.0,0.0,250.88560068761996,0.7355498289038849
6000.0,0.0,300.2693308237189,0.782418209517715
7000.0,0.0,352.01970964093806,0.7871105651653352
8000.0,0.0,400.77184990936917,0.8975703407061246
9000.0,0.0,449.4756728860951,0.9615254697677642
10000.0,0.0,497.6867866332914,1.0633648836273437
