"Energy, MeV","Sigma(E), MeV",dE/E,Sigma(dE/E)
893.2912377989659,8.46155049723211,0.2260867378895212,0.00470322472430365
1370.261123957339,9.851405779018705,0.1891909133528182,0.0037288606330097944
1950.3505429643715,12.709937447956236,0.16178997858360672,0.003153045719354487
2904.404128874271,15.851270346077172,0.13500270761123737,0.0026074679352001105
3518.9974384009047,17.336983535585205,0.12018193105359831,0.0022878113439861168
4122.810027256955,19.02088847991581,0.11480283975872982,0.0021706289015248994
4995.44508053703,20.30049254085816,0.1013996890242582,0.001909459067794665
6288.232444821786,23.15997579870782,0.09156429991993738,0.001711225268131831
7150.900872117652,23.84570984346101,0.08557718793395769,0.0015978532296716784
7988.05350558879,26.455642011303098,0.08000653921619388,0.0014882303648068023
9802.641762809753,26.775356950585774,0.07428734230375883,0.0013714846675307447
