"Energy, MeV","Sigma(E), MeV",dE/E,Sigma(dE/E)
874.8350141557131,6.57889236954702,0.19371446982824236,0.0038510334505181963
1354.9165773353182,8.344613858804678,0.15537020874037508,0.003020560263414716
1936.9207862301275,9.886348075428941,0.12781125693478126,0.0024347429057257376
2966.3401068555404,12.248884044251326,0.10422685615527003,0.0019512194341341049
3555.5274532141975,12.982400152269292,0.10062277501693444,0.001873485052067004
4132.897910406042,14.688834606868568,0.09148224646918758,0.0017053831034352434
4966.536858064919,16.544918865723957,0.08292719847089552,0.001546370349708093
6318.236748318498,18.490551541771765,0.07266063622359661,0.001344647356138546
7129.188508745164,20.757685436954944,0.06942217735871113,0.0012859619791983144
7979.7828788953175,21.165736820017173,0.06554328221522727,0.0012140061517988303
9757.241212479668,24.150868275288303,0.05931813658410098,0.0010931566601846854
